model_label,task_id,run,tokenizer,billed_prompt,recount_prompt,prompt_gap,billed_completion,recount_visible_output,reasoning_recountable
GLM-5.3,docqa_en,1,NONE PUBLIC,467,,,83,,False
GLM-5.3,docqa_en,2,NONE PUBLIC,467,,,102,,False
GLM-5.3,docqa_en,3,NONE PUBLIC,467,,,76,,False
GLM-5.3,docqa_ar,1,NONE PUBLIC,792,,,130,,False
GLM-5.3,docqa_ar,2,NONE PUBLIC,792,,,132,,False
GLM-5.3,docqa_ar,3,NONE PUBLIC,792,,,140,,False
GLM-5.3,extract_en,1,NONE PUBLIC,296,,,263,,False
GLM-5.3,extract_en,2,NONE PUBLIC,296,,,221,,False
GLM-5.3,extract_en,3,NONE PUBLIC,296,,,232,,False
GLM-5.3,extract_ar,1,NONE PUBLIC,380,,,782,,False
GLM-5.3,extract_ar,2,NONE PUBLIC,380,,,1168,,False
GLM-5.3,extract_ar,3,NONE PUBLIC,380,,,758,,False
GLM-5.3,sudoku_moderate_en,1,NONE PUBLIC,137,,,16000,,False
GLM-5.3,sudoku_moderate_en,2,NONE PUBLIC,137,,,16000,,False
GLM-5.3,sudoku_moderate_en,3,NONE PUBLIC,137,,,16000,,False
GLM-5.3,sudoku_moderate_ar,1,NONE PUBLIC,180,,,16000,,False
GLM-5.3,sudoku_moderate_ar,2,NONE PUBLIC,180,,,16000,,False
GLM-5.3,sudoku_moderate_ar,3,NONE PUBLIC,180,,,16000,,False
GLM-5.3,sudoku_extreme_en,1,NONE PUBLIC,131,,,32000,,False
GLM-5.3,sudoku_extreme_en,2,NONE PUBLIC,131,,,32000,,False
GLM-5.3,sudoku_extreme_ar,1,NONE PUBLIC,174,,,32000,,False
GLM-5.3,sudoku_extreme_ar,2,NONE PUBLIC,174,,,32000,,False
GLM-5.3,agentic_en,1,NONE PUBLIC,718,,,107,,False
GLM-5.3,agentic_en,2,NONE PUBLIC,718,,,107,,False
GLM-5.3,agentic_en,3,NONE PUBLIC,718,,,110,,False
GLM-5.3,agentic_ar,1,NONE PUBLIC,764,,,151,,False
GLM-5.3,agentic_ar,2,NONE PUBLIC,764,,,169,,False
GLM-5.3,agentic_ar,3,NONE PUBLIC,764,,,153,,False
DeepSeek V4 Pro,docqa_en,1,deepseek-tokenizer,536,453.0,83.0,96,95.0,True
DeepSeek V4 Pro,docqa_en,2,deepseek-tokenizer,536,453.0,83.0,97,96.0,True
DeepSeek V4 Pro,docqa_en,3,deepseek-tokenizer,536,453.0,83.0,82,81.0,True
DeepSeek V4 Pro,docqa_ar,1,deepseek-tokenizer,809,726.0,83.0,354,353.0,True
DeepSeek V4 Pro,docqa_ar,2,deepseek-tokenizer,809,726.0,83.0,146,145.0,True
DeepSeek V4 Pro,docqa_ar,3,deepseek-tokenizer,809,726.0,83.0,146,145.0,True
DeepSeek V4 Pro,extract_en,1,deepseek-tokenizer,364,281.0,83.0,191,190.0,True
DeepSeek V4 Pro,extract_en,2,deepseek-tokenizer,364,281.0,83.0,139,138.0,True
DeepSeek V4 Pro,extract_en,3,deepseek-tokenizer,364,281.0,83.0,197,196.0,True
DeepSeek V4 Pro,extract_ar,1,deepseek-tokenizer,431,348.0,83.0,836,835.0,True
DeepSeek V4 Pro,extract_ar,2,deepseek-tokenizer,431,348.0,83.0,178,177.0,True
DeepSeek V4 Pro,extract_ar,3,deepseek-tokenizer,431,348.0,83.0,1337,1336.0,True
DeepSeek V4 Pro,sudoku_moderate_en,1,deepseek-tokenizer,207,124.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_moderate_en,2,deepseek-tokenizer,207,124.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_moderate_en,3,deepseek-tokenizer,207,124.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_moderate_ar,1,deepseek-tokenizer,248,165.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_moderate_ar,2,deepseek-tokenizer,248,165.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_moderate_ar,3,deepseek-tokenizer,248,165.0,83.0,16000,16000.0,True
DeepSeek V4 Pro,sudoku_extreme_en,1,deepseek-tokenizer,202,119.0,83.0,32000,32000.0,True
DeepSeek V4 Pro,sudoku_extreme_en,2,deepseek-tokenizer,202,119.0,83.0,32000,32000.0,True
DeepSeek V4 Pro,sudoku_extreme_ar,1,deepseek-tokenizer,243,160.0,83.0,32000,32000.0,True
DeepSeek V4 Pro,sudoku_extreme_ar,2,deepseek-tokenizer,243,160.0,83.0,32000,32000.0,True
DeepSeek V4 Pro,agentic_en,1,deepseek-tokenizer,1213,143.0,1070.0,168,83.0,True
DeepSeek V4 Pro,agentic_en,2,deepseek-tokenizer,1209,143.0,1066.0,165,80.0,True
DeepSeek V4 Pro,agentic_en,3,deepseek-tokenizer,1226,143.0,1083.0,177,92.0,True
DeepSeek V4 Pro,agentic_ar,1,deepseek-tokenizer,1265,160.0,1105.0,190,104.0,True
DeepSeek V4 Pro,agentic_ar,2,deepseek-tokenizer,1258,160.0,1098.0,192,107.0,True
DeepSeek V4 Pro,agentic_ar,3,deepseek-tokenizer,1268,160.0,1108.0,200,114.0,True
Gemini 3.1 Pro,docqa_en,1,NONE PUBLIC,496,,,624,,False
Gemini 3.1 Pro,docqa_en,2,NONE PUBLIC,496,,,561,,False
Gemini 3.1 Pro,docqa_en,3,NONE PUBLIC,496,,,655,,False
Gemini 3.1 Pro,docqa_ar,1,NONE PUBLIC,693,,,833,,False
Gemini 3.1 Pro,docqa_ar,2,NONE PUBLIC,693,,,734,,False
Gemini 3.1 Pro,docqa_ar,3,NONE PUBLIC,693,,,830,,False
Gemini 3.1 Pro,extract_en,1,NONE PUBLIC,338,,,1253,,False
Gemini 3.1 Pro,extract_en,2,NONE PUBLIC,338,,,1029,,False
Gemini 3.1 Pro,extract_en,3,NONE PUBLIC,338,,,1296,,False
Gemini 3.1 Pro,extract_ar,1,NONE PUBLIC,381,,,1102,,False
Gemini 3.1 Pro,extract_ar,2,NONE PUBLIC,381,,,1000,,False
Gemini 3.1 Pro,extract_ar,3,NONE PUBLIC,381,,,987,,False
Gemini 3.1 Pro,sudoku_moderate_en,1,NONE PUBLIC,137,,,15996,,False
Gemini 3.1 Pro,sudoku_moderate_en,2,NONE PUBLIC,137,,,15996,,False
Gemini 3.1 Pro,sudoku_moderate_en,3,NONE PUBLIC,137,,,15996,,False
Gemini 3.1 Pro,sudoku_moderate_ar,1,NONE PUBLIC,163,,,15441,,False
Gemini 3.1 Pro,sudoku_moderate_ar,2,NONE PUBLIC,163,,,16008,,False
Gemini 3.1 Pro,sudoku_moderate_ar,3,NONE PUBLIC,163,,,15996,,False
Gemini 3.1 Pro,sudoku_extreme_en,1,NONE PUBLIC,132,,,31707,,False
